Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,Target,Probability,Signal,Position_Change
2024-06-07,1411.48,1454.46,1409.5,1452.43,18558696,0.0179,0.0187,0.0863,54.0311,-0.0001,-0.0006,-0.696,0.0271,0.0819,13910566.7,1.3341,0.0268,0.0276,-0.007,1,0.563,1,2
2024-06-10,1452.43,1475.56,1450.58,1453.87,9251760,0.0171,0.0189,0.0864,54.2431,0.0013,-0.0002,0.3513,0.0275,0.0808,13847899.9,0.6681,0.001,-0.0258,0.0035,0,0.536,1,0
2024-06-11,1451.5,1456.12,1437.34,1439.32,11774902,0.0062,0.0084,0.0747,51.6507,0.0017,0.0002,0.0327,0.0272,0.0774,14013814.0,0.8402,-0.01,0.0425,0.0003,1,0.4874,-1,-2
2024-06-12,1440.13,1458.41,1437.84,1445.89,10081742,0.0098,0.0124,0.0788,52.7488,0.0023,0.0006,1.565,0.0262,0.0756,14158486.1,0.7121,0.0046,0.03,0.0157,1,0.5251,1,2
2024-06-13,1454.46,1454.71,1442.7,1447.79,9181160,0.01,0.0132,0.0793,53.0807,0.0029,0.0011,2.8355,0.0262,0.0731,14365217.4,0.6391,0.0013,0.0235,0.0284,1,0.5258,1,0
2024-06-14,1452.48,1462.04,1439.86,1459.94,8157998,0.0167,0.0209,0.0874,55.2455,0.0039,0.0016,3.2957,0.0259,0.0721,14037528.6,0.5812,0.0084,0.0052,0.033,1,0.5363,1,0
2024-06-18,1469.63,1469.68,1453.82,1463.38,7196766,0.0173,0.0223,0.089,55.8664,0.0049,0.0023,-1.9399,0.0254,0.0727,13851543.1,0.5196,0.0024,0.0065,-0.0194,0,0.5472,1,0
2024-06-19,1469.78,1469.78,1438.65,1441.27,8725874,0.0017,0.0066,0.0718,50.9719,0.0045,0.0027,4.3922,0.0264,0.0727,13729030.4,0.6356,-0.0151,0.0014,0.0439,1,0.4979,-1,-2
2024-06-20,1441.62,1465.18,1432.82,1456.14,16113776,0.0109,0.0163,0.0819,53.8973,0.0048,0.0031,3.727,0.0267,0.0726,14020639.0,1.1493,0.0103,0.0071,0.0373,0,0.561,1,2
2024-06-21,1456.07,1457.13,1423.41,1436.87,31170360,-0.0023,0.0028,0.0669,49.7541,0.004,0.0033,1.5786,0.0277,0.0713,14848744.0,2.0992,-0.0132,-0.0075,0.0158,0,0.4918,-1,-2
2024-06-24,1428.3,1432.23,1420.37,1424.3,8878386,-0.0099,-0.0058,0.057,47.205,0.0026,0.0032,-1.9368,0.0246,0.0708,14937924.5,0.5944,-0.0087,-0.0244,-0.0194,1,0.4816,-1,0
2024-06-25,1425.81,1438.58,1423.83,1436.82,7045386,-0.0011,0.0028,0.0656,49.9553,0.0022,0.003,-1.1727,0.0177,0.0697,14958743.3,0.471,0.0088,-0.0181,-0.0117,1,0.5139,-1,0
2024-06-26,1428.82,1500.88,1427.91,1495.98,22014882,0.0361,0.0423,0.1082,60.4417,0.0049,0.0033,3.9366,0.0183,0.0758,15668479.3,1.405,0.0412,0.038,0.0394,1,0.5688,1,2
2024-06-27,1495.71,1519.18,1488.06,1512.31,28383030,0.0427,0.0515,0.119,62.7613,0.0079,0.0042,4.5937,0.0185,0.0857,16718453.0,1.6977,0.0109,0.0386,0.0459,1,0.5473,1,0
2024-06-28,1512.78,1562.16,1512.78,1546.75,28957336,0.0597,0.0723,0.1428,67.1378,0.0117,0.0056,6.8352,0.0183,0.0997,17505976.9,1.6541,0.0228,0.0765,0.0684,0,0.5505,1,0
2024-07-01,1543.91,1560.58,1537.14,1541.56,7724306,0.0505,0.0658,0.1374,65.8813,0.0144,0.0074,5.5906,0.0183,0.1101,16338700.6,0.4728,-0.0034,0.0823,0.0559,1,0.5482,1,0
2024-07-02,1550.8,1554.75,1538.45,1546.53,7749246,0.0485,0.0663,0.1395,66.5273,0.0166,0.0092,5.6821,0.0181,0.1199,15649765.8,0.4952,0.0032,0.0764,0.0568,0,0.5432,1,0
2024-07-03,1547.66,1556.23,1524.39,1533.93,9049620,0.036,0.0553,0.1287,63.257,0.0176,0.0109,6.4291,0.0188,0.1178,14266791.9,0.6343,-0.0081,0.0254,0.0643,1,0.5122,-1,-2
