Datetime,Open,High,Low,Close,Volume
2026-03-23 09:15:00,1400.4,1405.0,1395.5,1402.0,0
2026-03-23 09:20:00,1402.0,1409.5,1401.5,1404.4,508402
2026-03-23 09:25:00,1404.2,1406.9,1404.2,1404.8,177202
2026-03-23 09:30:00,1404.7,1407.8,1403.7,1406.7,280125
2026-03-23 09:35:00,1406.6,1407.9,1405.6,1406.6,128373
2026-03-23 09:40:00,1406.7,1408.0,1404.8,1405.9,147057
2026-03-23 09:45:00,1405.7,1407.5,1405.0,1406.3,197870
2026-03-23 09:50:00,1406.4,1406.4,1404.8,1405.5,302272
2026-03-23 09:55:00,1405.5,1406.5,1403.8,1404.2,212120
2026-03-23 10:00:00,1404.4,1405.0,1401.6,1403.4,248213
2026-03-23 10:05:00,1403.3,1405.4,1402.4,1404.7,409491
2026-03-23 10:10:00,1404.7,1405.0,1400.3,1400.3,171364
2026-03-23 10:15:00,1400.3,1402.1,1396.3,1397.0,539469
2026-03-23 10:20:00,1396.5,1396.6,1392.1,1392.7,238473
2026-03-23 10:25:00,1392.3,1395.5,1392.0,1393.2,136661
2026-03-23 10:30:00,1393.2,1395.7,1391.3,1393.3,151328
2026-03-23 10:35:00,1393.3,1397.1,1392.8,1395.3,74976
2026-03-23 10:40:00,1395.3,1395.8,1391.6,1393.2,86864
2026-03-23 10:45:00,1393.4,1394.9,1391.0,1394.4,175269
2026-03-23 10:50:00,1394.2,1395.9,1392.6,1395.4,117116
2026-03-23 10:55:00,1395.4,1396.9,1394.8,1396.5,120775
2026-03-23 11:00:00,1396.5,1398.0,1394.0,1397.7,86872
2026-03-23 11:05:00,1397.7,1400.0,1396.7,1396.9,139264
2026-03-23 11:10:00,1396.9,1397.5,1396.0,1396.0,56032
2026-03-23 11:15:00,1396.3,1396.4,1393.2,1393.2,102711
2026-03-23 11:20:00,1393.2,1396.5,1393.0,1396.5,57404
2026-03-23 11:25:00,1397.0,1398.4,1395.6,1398.3,114773
2026-03-23 11:30:00,1397.7,1399.0,1395.1,1395.7,102694
2026-03-23 11:35:00,1395.2,1395.7,1393.8,1395.6,76165
2026-03-23 11:40:00,1395.6,1397.3,1394.1,1395.2,116541
2026-03-23 11:45:00,1395.2,1397.4,1394.6,1397.0,93981
2026-03-23 11:50:00,1397.0,1397.8,1396.3,1396.8,61732
2026-03-23 11:55:00,1396.8,1399.5,1396.3,1398.6,88579
2026-03-23 12:00:00,1398.7,1401.0,1398.0,1400.3,202501
2026-03-23 12:05:00,1400.3,1401.4,1397.3,1398.8,209109
2026-03-23 12:10:00,1399.0,1400.5,1398.8,1399.9,86734
2026-03-23 12:15:00,1399.2,1399.9,1397.0,1399.6,244230
2026-03-23 12:20:00,1399.5,1399.6,1396.3,1396.3,251230
2026-03-23 12:25:00,1397.1,1398.8,1396.4,1398.4,159975
2026-03-23 12:30:00,1398.4,1399.5,1397.0,1399.4,134299
2026-03-23 12:35:00,1399.5,1401.0,1399.0,1399.1,132176
2026-03-23 12:40:00,1399.0,1401.0,1398.4,1400.5,148556
2026-03-23 12:45:00,1400.5,1401.4,1399.5,1400.1,248947
2026-03-23 12:50:00,1400.1,1400.4,1399.1,1400.0,120571
2026-03-23 12:55:00,1399.9,1400.5,1398.4,1399.7,200899
2026-03-23 13:00:00,1399.7,1400.0,1398.4,1399.0,198832
2026-03-23 13:05:00,1399.0,1400.2,1398.1,1399.2,197569
2026-03-23 13:10:00,1399.2,1400.5,1399.0,1400.4,208803
2026-03-23 13:15:00,1400.4,1401.9,1400.4,1400.9,104681
2026-03-23 13:20:00,1400.6,1401.5,1399.4,1399.8,129115
2026-03-23 13:25:00,1399.8,1401.0,1399.0,1399.3,185894
2026-03-23 13:30:00,1399.5,1401.5,1399.4,1400.9,150522
2026-03-23 13:35:00,1400.7,1401.5,1400.0,1400.5,123326
2026-03-23 13:40:00,1400.7,1403.0,1399.7,1401.7,178173
2026-03-23 13:45:00,1401.7,1405.8,1401.3,1405.7,275486
2026-03-23 13:50:00,1405.7,1408.2,1405.5,1407.2,316805
2026-03-23 13:55:00,1407.5,1408.6,1406.3,1407.3,289401
2026-03-23 14:00:00,1407.6,1411.9,1406.4,1409.3,397460
2026-03-23 14:05:00,1409.2,1412.0,1407.5,1409.7,399396
2026-03-23 14:10:00,1409.2,1411.1,1408.0,1409.2,241328
